,count,probability,russian,english
79,5,0.0009,жизнь_NOUN,free_ADJF
80,24,0.0043,жизнь_NOUN,future_NOUN
81,18,0.0032,жизнь_NOUN,way_NOUN
82,45,0.008,жизнь_NOUN,new_ADJF
83,91,0.0161,жизнь_NOUN,life_NOUN
84,6,0.0011,жизнь_NOUN,rest_NOUN
85,8,0.0014,жизнь_NOUN,month_NOUN
86,9,0.0016,жизнь_NOUN,joy_NOUN
87,8,0.0014,жизнь_NOUN,kind_NOUN
88,3,0.0005,жизнь_NOUN,habit_NOUN
89,8,0.0014,жизнь_NOUN,moment_NOUN
90,7,0.0012,жизнь_NOUN,good_ADJF
91,21,0.0037,жизнь_NOUN,family_NOUN
92,8,0.0014,жизнь_NOUN,young_ADJF
93,8,0.0014,жизнь_NOUN,spiritual_ADJF
94,4,0.0007,жизнь_NOUN,interest_NOUN
95,47,0.0083,жизнь_NOUN,human_NOUN
96,37,0.0066,жизнь_NOUN,whole_ADJF
97,3,0.0005,жизнь_NOUN,business_NOUN
98,3,0.0005,жизнь_NOUN,without_PREP
99,5,0.0009,жизнь_NOUN,hard_ADJF
100,10,0.0018,жизнь_NOUN,inner_NOUN
101,3,0.0005,жизнь_NOUN,tired_VERB
102,13,0.0023,жизнь_NOUN,condition_NOUN
103,28,0.005,жизнь_NOUN,end_NOUN
104,3,0.0005,жизнь_NOUN,prosperous_ADJF
105,7,0.0012,жизнь_NOUN,better_ADVB
106,3,0.0005,жизнь_NOUN,impression_NOUN
107,7,0.0012,жизнь_NOUN,daily_ADJF
108,6,0.0011,жизнь_NOUN,country_NOUN
109,7,0.0012,жизнь_NOUN,time_NOUN
110,7,0.0012,жизнь_NOUN,social_ADJF
111,6,0.0011,жизнь_NOUN,previous_ADJF
112,4,0.0007,жизнь_NOUN,experience_NOUN
113,8,0.0014,жизнь_NOUN,old_ADJF
114,10,0.0018,жизнь_NOUN,full_ADJF
115,4,0.0007,жизнь_NOUN,bachelor_NOUN
116,13,0.0023,жизнь_NOUN,married_ADJF
117,7,0.0012,жизнь_NOUN,domestic_ADJF
118,16,0.0028,жизнь_NOUN,day_NOUN
119,6,0.0011,жизнь_NOUN,present_NOUN
120,9,0.0016,жизнь_NOUN,happiness_NOUN
121,9,0.0016,жизнь_NOUN,sort_NOUN
122,3,0.0005,жизнь_NOUN,charm_NOUN
123,3,0.0005,жизнь_NOUN,town_NOUN
124,8,0.0014,жизнь_NOUN,ordinary_ADJF
125,4,0.0007,жизнь_NOUN,question_NOUN
126,3,0.0005,жизнь_NOUN,come_VERB
127,3,0.0005,жизнь_NOUN,problem_NOUN
128,13,0.0023,жизнь_NOUN,year_NOUN
129,4,0.0007,жизнь_NOUN,man_NOUN
130,4,0.0007,жизнь_NOUN,miserable_ADJF
131,19,0.0034,жизнь_NOUN,course_NOUN
132,3,0.0005,жизнь_NOUN,independent_ADJF
133,3,0.0005,жизнь_NOUN,mean_NOUN
134,3,0.0005,жизнь_NOUN,dream_NOUN
135,4,0.0007,жизнь_NOUN,home_NOUN
136,4,0.0007,жизнь_NOUN,work_NOUN
137,3,0.0005,жизнь_NOUN,minute_NOUN
138,6,0.0011,жизнь_NOUN,petersburg_NOUN
139,7,0.0012,жизнь_NOUN,happy_ADJF
140,4,0.0007,жизнь_NOUN,plan_NOUN
141,3,0.0005,жизнь_NOUN,background_NOUN
142,18,0.0032,жизнь_NOUN,meaning_NOUN
143,17,0.003,жизнь_NOUN,past_NOUN
144,3,0.0005,жизнь_NOUN,aim_NOUN
145,10,0.0018,жизнь_NOUN,sense_NOUN
146,3,0.0005,жизнь_NOUN,thing_NOUN
147,44,0.0078,жизнь_NOUN,real_ADJF
148,3,0.0005,жизнь_NOUN,standard_NOUN
149,4,0.0007,жизнь_NOUN,true_ADJF
150,3,0.0005,жизнь_NOUN,record_NOUN
151,4,0.0007,жизнь_NOUN,would_None
152,6,0.0011,жизнь_NOUN,period_NOUN
153,6,0.0011,жизнь_NOUN,source_NOUN
154,5,0.0009,жизнь_NOUN,many_ADJF
155,15,0.0027,жизнь_NOUN,long_ADVB
156,8,0.0014,жизнь_NOUN,story_NOUN
157,4,0.0007,жизнь_NOUN,matter_NOUN
158,11,0.002,жизнь_NOUN,personal_ADJF
159,7,0.0012,жизнь_NOUN,two_NUMR
160,4,0.0007,жизнь_NOUN,change_NOUN
161,4,0.0007,жизнь_NOUN,easy_ADJF
162,6,0.0011,жизнь_NOUN,truth_NOUN
163,6,0.0011,жизнь_NOUN,lot_NOUN
164,4,0.0007,жизнь_NOUN,never_ADVB
165,8,0.0014,жизнь_NOUN,camp_NOUN
166,5,0.0009,жизнь_NOUN,age_NOUN
167,15,0.0027,жизнь_NOUN,another_ADJF
168,19,0.0034,жизнь_NOUN,everyday_NOUN
169,3,0.0005,жизнь_NOUN,night_NOUN
170,12,0.0021,жизнь_NOUN,private_ADJF
171,3,0.0005,жизнь_NOUN,action_NOUN
172,4,0.0007,жизнь_NOUN,spring_NOUN
173,12,0.0021,жизнь_NOUN,much_ADJF
174,3,0.0005,жизнь_NOUN,hour_NOUN
175,9,0.0016,жизнь_NOUN,one_NUMR
176,6,0.0011,жизнь_NOUN,russian_ADJF
177,3,0.0005,жизнь_NOUN,spirit_NOUN
178,8,0.0014,жизнь_NOUN,school_NOUN
179,3,0.0005,жизнь_NOUN,sake_NOUN
180,5,0.0009,жизнь_NOUN,half_NOUN
181,4,0.0007,жизнь_NOUN,actual_ADJF
182,3,0.0005,жизнь_NOUN,afraid_NOUN
183,8,0.0014,жизнь_NOUN,quiet_ADJF
184,13,0.0023,жизнь_NOUN,earthly_ADVB
185,5,0.0009,жизнь_NOUN,peaceful_NOUN
186,3,0.0005,жизнь_NOUN,beauty_NOUN
187,7,0.0012,жизнь_NOUN,american_ADJF
188,3,0.0005,жизнь_NOUN,bandit_NOUN
189,4,0.0007,жизнь_NOUN,cost_NOUN
190,5,0.0009,жизнь_NOUN,law_NOUN
191,8,0.0014,жизнь_NOUN,entire_ADJF
192,3,0.0005,жизнь_NOUN,know_VERB
193,3,0.0005,жизнь_NOUN,away_ADVB
194,3,0.0005,жизнь_NOUN,sign_NOUN
195,3,0.0005,жизнь_NOUN,wasted_VERB
196,3,0.0005,жизнь_NOUN,house_NOUN
197,4,0.0007,жизнь_NOUN,every_ADJF
198,3,0.0005,жизнь_NOUN,thought_NOUN
199,4,0.0007,жизнь_NOUN,light_NOUN
200,12,0.0021,жизнь_NOUN,former_ADJF
201,4,0.0007,жизнь_NOUN,fear_NOUN
202,3,0.0005,жизнь_NOUN,place_NOUN
203,3,0.0005,жизнь_NOUN,student_NOUN
204,10,0.0018,жизнь_NOUN,soviet_ADJF
205,3,0.0005,жизнь_NOUN,first_ADVB
206,6,0.0011,жизнь_NOUN,picture_NOUN
207,4,0.0007,жизнь_NOUN,understanding_VERB
208,3,0.0005,жизнь_NOUN,short_ADJF
209,3,0.0005,жизнь_NOUN,void_NOUN
210,4,0.0007,жизнь_NOUN,taste_NOUN
211,5,0.0009,жизнь_NOUN,honest_NOUN
212,3,0.0005,жизнь_NOUN,next_ADJF
213,3,0.0005,жизнь_NOUN,left_NOUN
214,4,0.0007,жизнь_NOUN,sedentary_ADJF
215,5,0.0009,жизнь_NOUN,toward_PREP
216,3,0.0005,жизнь_NOUN,sun_NOUN
217,3,0.0005,жизнь_NOUN,secret_NOUN
218,5,0.0009,жизнь_NOUN,event_NOUN
219,5,0.0009,жизнь_NOUN,turn_NOUN
220,4,0.0007,жизнь_NOUN,love_NOUN
221,3,0.0005,жизнь_NOUN,routine_NOUN
222,3,0.0005,жизнь_NOUN,dark_NOUN
223,4,0.0007,жизнь_NOUN,power_NOUN
224,4,0.0007,жизнь_NOUN,nothing_NOUN
225,4,0.0007,жизнь_NOUN,still_ADVB
226,3,0.0005,жизнь_NOUN,second_ADJF
227,3,0.0005,жизнь_NOUN,emigre_NOUN
228,3,0.0005,жизнь_NOUN,army_NOUN
229,3,0.0005,жизнь_NOUN,dull_NOUN
230,93,0.0315,сколько_ADVB,much_ADJF
231,28,0.0095,сколько_ADVB,however_ADVB
232,5,0.0017,сколько_ADVB,look_NOUN
233,4,0.0014,сколько_ADVB,people_NOUN
234,11,0.0037,сколько_ADVB,old_ADJF
235,4,0.0014,сколько_ADVB,try_NOUN
236,5,0.0017,сколько_ADVB,said_VERB
237,3,0.001,сколько_ADVB,yet_ADVB
238,58,0.0196,сколько_ADVB,far_ADVB
239,10,0.0034,сколько_ADVB,think_NOUN
240,3,0.001,сколько_ADVB,ever_ADVB
241,5,0.0017,сколько_ADVB,money_NOUN
242,4,0.0014,сколько_ADVB,time_NOUN
243,6,0.002,сколько_ADVB,asked_VERB
244,8,0.0027,сколько_ADVB,take_VERB
245,12,0.0041,сколько_ADVB,see_VERB
246,44,0.0149,сколько_ADVB,know_VERB
247,12,0.0041,сколько_ADVB,remember_VERB
248,4,0.0014,сколько_ADVB,gave_VERB
249,28,0.0095,сколько_ADVB,long_ADVB
250,3,0.001,сколько_ADVB,word_NOUN
251,18,0.0061,сколько_ADVB,many_ADJF
252,29,0.0098,сколько_ADVB,matter_NOUN
253,4,0.0014,сколько_ADVB,idea_NOUN
254,4,0.0014,сколько_ADVB,year_NOUN
255,9,0.003,сколько_ADVB,imagine_NOUN
256,6,0.002,сколько_ADVB,exactly_ADVB
257,11,0.0037,сколько_ADVB,knew_NOUN
258,4,0.0014,сколько_ADVB,could_None
259,5,0.0017,сколько_ADVB,say_VERB
260,3,0.001,сколько_ADVB,understand_NOUN
261,7,0.0024,сколько_ADVB,u_NOUN
262,4,0.0014,сколько_ADVB,often_ADVB
263,4,0.0014,сколько_ADVB,must_None
264,3,0.001,сколько_ADVB,known_VERB
265,4,0.0014,сколько_ADVB,tell_NOUN
266,3,0.001,сколько_ADVB,calculate_NOUN
267,3,0.001,сколько_ADVB,wonder_NOUN
268,4,0.0014,сколько_ADVB,well_ADVB
269,3,0.001,сколько_ADVB,day_NOUN
270,12,0.0278,помнить_VERB,could_None
271,6,0.0139,помнить_VERB,remembered_VERB
272,4,0.0093,помнить_VERB,scarcely_ADVB
273,3,0.007,помнить_VERB,nobody_NOUN
274,4,0.0093,помнить_VERB,remember_VERB
275,4,0.0093,помнить_VERB,distinctly_ADVB
276,5,0.0116,помнить_VERB,even_ADVB
277,3,0.007,помнить_VERB,never_ADVB
278,4,0.0093,помнить_VERB,longer_NOUN
279,5,0.0116,помнить_VERB,one_NUMR
280,5,0.0116,помнить_VERB,still_ADVB
281,6,0.0139,помнить_VERB,andrei_NOUN
282,3,0.0462,урал_NOUN,beyond_PREP
283,3,0.0108,выходить_VERB,woman_NOUN
284,16,0.0578,выходить_VERB,came_VERB
285,7,0.0253,выходить_VERB,window_NOUN
286,8,0.0289,выходить_VERB,looked_VERB
287,7,0.0253,выходить_VERB,come_VERB
288,8,0.0289,выходить_VERB,went_VERB
289,10,0.0361,выходить_VERB,coming_VERB
290,3,0.0108,выходить_VERB,going_VERB
291,4,0.0144,выходить_VERB,would_None
292,3,0.0108,выходить_VERB,go_VERB
293,4,0.0144,выходить_VERB,people_NOUN
294,9,0.0007,это_PRCL,man_NOUN
295,6,0.0004,это_PRCL,people_NOUN
296,5,0.0004,это_PRCL,like_PREP
297,3,0.0002,это_PRCL,feeling_VERB
298,4,0.0003,это_PRCL,see_VERB
299,14,0.001,это_PRCL,one_NUMR
300,4,0.0003,это_PRCL,thing_NOUN
301,3,0.0002,это_PRCL,say_VERB
302,3,0.0002,это_PRCL,letter_NOUN
303,3,0.0002,это_PRCL,saying_VERB
304,5,0.0004,это_PRCL,life_NOUN
305,4,0.0003,это_PRCL,really_ADVB
306,3,0.0002,это_PRCL,let_VERB
307,4,0.0003,это_PRCL,mean_NOUN
308,3,0.0002,это_PRCL,everything_NOUN
309,4,0.0003,это_PRCL,woman_NOUN
310,4,0.0003,это_PRCL,wrote_VERB
311,3,0.0002,это_PRCL,baby_NOUN
312,3,0.0002,это_PRCL,men_NOUN
313,4,0.0003,это_PRCL,name_NOUN
314,4,0.0003,это_PRCL,maxim_NOUN
315,4,0.0003,это_PRCL,would_None
316,3,0.0002,это_PRCL,fact_NOUN
317,3,0.0002,это_PRCL,mother_NOUN
318,10,0.006,народ_NOUN,common_ADJF
319,3,0.0018,народ_NOUN,queer_NOUN
320,75,0.0452,народ_NOUN,people_NOUN
321,3,0.0018,народ_NOUN,peasant_NOUN
322,4,0.0024,народ_NOUN,go_VERB
323,3,0.0018,народ_NOUN,young_ADJF
324,14,0.0084,народ_NOUN,whole_ADJF
325,3,0.0018,народ_NOUN,educate_NOUN
326,34,0.0205,народ_NOUN,russian_ADJF
327,7,0.0042,народ_NOUN,one_NUMR
328,4,0.0024,народ_NOUN,fine_NOUN
329,10,0.006,народ_NOUN,great_ADJF
330,3,0.0018,народ_NOUN,tough_ADJF
331,11,0.0066,народ_NOUN,soviet_ADJF
332,3,0.0018,народ_NOUN,mighty_NOUN
333,5,0.003,народ_NOUN,simple_NOUN
334,3,0.0018,народ_NOUN,men_NOUN
335,3,0.0018,народ_NOUN,good_ADJF
336,3,0.0018,народ_NOUN,talented_VERB
337,6,0.0036,народ_NOUN,ignorant_NOUN
338,3,0.0018,народ_NOUN,free_ADJF
339,6,0.0036,народ_NOUN,working_VERB
340,3,0.0018,народ_NOUN,ordinary_ADJF
341,3,0.0018,народ_NOUN,folk_NOUN
342,3,0.0018,народ_NOUN,chosen_NOUN
343,3,0.0018,народ_NOUN,know_VERB
344,3,0.0517,измученный_ADJF,utterly_ADVB
345,5,0.0862,измученный_ADJF,worn_NOUN
346,3,0.0517,измученный_ADJF,completely_ADVB
347,4,0.0031,вид_NOUN,like_PREP
348,12,0.0094,вид_NOUN,looked_VERB
349,5,0.0039,вид_NOUN,general_ADJF
350,6,0.0047,вид_NOUN,mere_ADVB
351,3,0.0023,вид_NOUN,haughty_NOUN
352,4,0.0031,вид_NOUN,beautiful_NOUN
353,4,0.0031,вид_NOUN,always_ADVB
354,10,0.0078,вид_NOUN,air_NOUN
355,11,0.0086,вид_NOUN,assumed_VERB
356,6,0.0047,вид_NOUN,sight_NOUN
357,6,0.0047,вид_NOUN,look_NOUN
358,3,0.0023,вид_NOUN,form_NOUN
359,7,0.0055,вид_NOUN,appearance_NOUN
360,7,0.0055,вид_NOUN,made_VERB
361,3,0.0023,вид_NOUN,one_NUMR
362,3,0.0023,вид_NOUN,outward_NOUN
363,10,0.0078,вид_NOUN,would_None
364,7,0.0055,вид_NOUN,whole_ADJF
365,5,0.0039,вид_NOUN,man_NOUN
366,9,0.007,вид_NOUN,serious_ADJF
367,4,0.0031,вид_NOUN,even_ADVB
368,3,0.0023,вид_NOUN,scared_VERB
369,3,0.0023,вид_NOUN,different_ADJF
370,4,0.0031,вид_NOUN,still_ADVB
371,3,0.0023,вид_NOUN,independent_ADJF
372,3,0.0023,вид_NOUN,face_NOUN
373,4,0.0031,вид_NOUN,new_ADJF
374,9,0.007,вид_NOUN,view_NOUN
375,3,0.0023,вид_NOUN,world_NOUN
376,4,0.0031,вид_NOUN,menacing_VERB
377,3,0.0023,вид_NOUN,festive_ADJF
378,3,0.0023,вид_NOUN,dejected_VERB
379,4,0.0031,вид_NOUN,gloomy_NOUN
380,4,0.0138,тихий_ADJF,like_PREP
381,3,0.0104,тихий_ADJF,voice_NOUN
382,4,0.0005,время_NOUN,autumn_NOUN
383,64,0.0075,время_NOUN,one_NUMR
384,3,0.0004,время_NOUN,spent_NOUN
385,12,0.0014,время_NOUN,good_ADJF
386,125,0.0147,время_NOUN,time_NOUN
387,9,0.0011,время_NOUN,away_ADVB
388,7,0.0008,время_NOUN,look_NOUN
389,7,0.0008,время_NOUN,especially_ADVB
390,21,0.0025,время_NOUN,present_NOUN
391,3,0.0004,время_NOUN,passing_NOUN
392,3,0.0004,время_NOUN,talking_VERB
393,5,0.0006,время_NOUN,leisure_NOUN
394,11,0.0013,время_NOUN,brief_NOUN
395,4,0.0005,время_NOUN,lived_VERB
396,8,0.0009,время_NOUN,last_ADJF
397,4,0.0005,время_NOUN,petersburg_NOUN
398,3,0.0004,время_NOUN,better_ADVB
399,6,0.0007,время_NOUN,next_ADJF
400,6,0.0007,время_NOUN,looking_VERB
401,3,0.0004,время_NOUN,else_ADVB
402,3,0.0004,время_NOUN,anything_NOUN
403,4,0.0005,время_NOUN,three_NUMR
404,72,0.0085,время_NOUN,whole_ADJF
405,4,0.0005,время_NOUN,stopped_VERB
406,18,0.0021,время_NOUN,still_ADVB
407,3,0.0004,время_NOUN,light_NOUN
408,9,0.0011,время_NOUN,early_ADVB
409,25,0.0029,время_NOUN,first_ADVB
410,8,0.0009,время_NOUN,difficult_ADJF
411,4,0.0005,время_NOUN,almost_ADVB
412,16,0.0019,время_NOUN,moment_NOUN
413,4,0.0005,время_NOUN,latter_NOUN
414,9,0.0011,время_NOUN,wasting_VERB
415,8,0.0009,время_NOUN,terrible_ADJF
416,4,0.0005,время_NOUN,heart_NOUN
417,12,0.0014,время_NOUN,every_ADJF
418,7,0.0008,время_NOUN,right_NOUN
419,5,0.0006,время_NOUN,precious_ADJF
420,15,0.0018,время_NOUN,come_VERB
421,5,0.0006,время_NOUN,kill_NOUN
422,3,0.0004,время_NOUN,young_ADJF
423,5,0.0006,время_NOUN,day_NOUN
424,20,0.0023,время_NOUN,even_ADVB
425,9,0.0011,время_NOUN,entire_ADJF
426,81,0.0095,время_NOUN,long_ADVB
427,3,0.0004,время_NOUN,love_NOUN
428,6,0.0007,время_NOUN,felt_NOUN
429,3,0.0004,время_NOUN,prepared_ADJF
430,4,0.0005,время_NOUN,place_NOUN
431,5,0.0006,время_NOUN,room_NOUN
432,4,0.0005,время_NOUN,boy_NOUN
433,4,0.0005,время_NOUN,interrupted_VERB
434,4,0.0005,время_NOUN,usual_ADJF
435,4,0.0005,время_NOUN,dinner_NOUN
436,46,0.0054,время_NOUN,short_ADJF
437,12,0.0014,время_NOUN,another_ADJF
438,5,0.0006,время_NOUN,high_ADJF
439,7,0.0008,время_NOUN,happy_ADJF
440,3,0.0004,время_NOUN,blissful_NOUN
441,4,0.0005,время_NOUN,made_VERB
442,3,0.0004,время_NOUN,home_NOUN
443,8,0.0009,время_NOUN,came_VERB
444,11,0.0013,время_NOUN,spare_NOUN
445,3,0.0004,время_NOUN,appeared_VERB
446,16,0.0019,время_NOUN,free_ADJF
447,3,0.0004,время_NOUN,ever_ADVB
448,3,0.0004,время_NOUN,find_VERB
449,5,0.0006,время_NOUN,happened_VERB
450,3,0.0004,время_NOUN,die_NOUN
451,4,0.0005,время_NOUN,work_NOUN
452,4,0.0005,время_NOUN,stormy_NOUN
453,6,0.0007,время_NOUN,already_ADVB
454,5,0.0006,время_NOUN,late_ADVB
455,3,0.0004,время_NOUN,hard_ADJF
456,3,0.0004,время_NOUN,got_VERB
457,4,0.0005,время_NOUN,town_NOUN
458,7,0.0008,время_NOUN,wrong_ADJF
459,3,0.0004,время_NOUN,annoyed_NOUN
460,3,0.0004,время_NOUN,hand_NOUN
461,5,0.0006,время_NOUN,could_None
462,3,0.0004,время_NOUN,possible_ADJF
463,4,0.0005,время_NOUN,moscow_NOUN
464,4,0.0005,время_NOUN,used_VERB
465,4,0.0005,время_NOUN,seemed_VERB
466,3,0.0004,время_NOUN,would_None
467,4,0.0005,время_NOUN,thought_NOUN
468,5,0.0006,время_NOUN,mind_NOUN
469,7,0.0008,время_NOUN,never_ADVB
470,7,0.0008,время_NOUN,always_ADVB
471,5,0.0006,время_NOUN,considerable_ADJF
472,3,0.0004,время_NOUN,night_NOUN
473,7,0.0008,время_NOUN,ill_NOUN
474,3,0.0004,время_NOUN,changed_VERB
475,3,0.0004,время_NOUN,valuable_ADJF
476,4,0.0005,время_NOUN,proper_NOUN
477,3,0.0004,время_NOUN,window_NOUN
478,6,0.0007,время_NOUN,lost_VERB
479,9,0.0011,время_NOUN,best_ADJF
480,10,0.0012,время_NOUN,though_PREP
481,19,0.0022,время_NOUN,waste_NOUN
482,4,0.0005,время_NOUN,gain_NOUN
483,3,0.0004,время_NOUN,near_PREP
484,10,0.0012,время_NOUN,old_ADJF
485,4,0.0005,время_NOUN,knew_NOUN
486,3,0.0004,время_NOUN,given_VERB
487,3,0.0004,время_NOUN,silence_NOUN
488,3,0.0004,время_NOUN,exact_NOUN
489,3,0.0004,время_NOUN,think_NOUN
490,5,0.0006,время_NOUN,died_VERB
491,3,0.0004,время_NOUN,word_NOUN
492,13,0.0015,время_NOUN,yet_ADVB
493,9,0.0011,время_NOUN,due_ADJF
494,3,0.0004,время_NOUN,stood_NOUN
495,20,0.0023,время_NOUN,little_ADJF
496,4,0.0005,время_NOUN,take_VERB
497,3,0.0004,время_NOUN,former_ADJF
498,4,0.0005,время_NOUN,meanwhile_ADVB
499,6,0.0007,время_NOUN,silent_NOUN
500,4,0.0005,время_NOUN,working_VERB
501,3,0.0004,время_NOUN,remained_VERB
502,3,0.0004,время_NOUN,often_ADVB
503,8,0.0009,время_NOUN,fine_NOUN
504,3,0.0004,время_NOUN,spend_NOUN
505,6,0.0007,время_NOUN,many_ADJF
506,3,0.0004,время_NOUN,ordinary_ADJF
507,3,0.0004,время_NOUN,play_NOUN
508,3,0.0004,время_NOUN,two_NUMR
509,4,0.0005,время_NOUN,done_VERB
510,7,0.0008,время_NOUN,certain_ADJF
511,4,0.0005,время_NOUN,like_PREP
512,3,0.0004,время_NOUN,pas_NOUN
513,3,0.0004,время_NOUN,indefinite_NOUN
514,5,0.0006,время_NOUN,appointed_VERB
515,7,0.0008,время_NOUN,recent_ADJF
516,6,0.0007,время_NOUN,together_ADVB
517,3,0.0004,время_NOUN,walk_NOUN
518,3,0.0004,время_NOUN,new_ADJF
519,3,0.0004,время_NOUN,earlier_ADVB
520,3,0.0004,время_NOUN,allotted_VERB
521,3,0.0004,время_NOUN,hour_NOUN
522,3,0.0004,время_NOUN,stop_NOUN
523,3,0.0004,время_NOUN,living_NOUN
524,3,0.0004,время_NOUN,table_NOUN
525,3,0.0004,время_NOUN,fitting_NOUN
526,3,0.0004,время_NOUN,air_NOUN
527,3,0.0004,время_NOUN,nice_ADJF
528,3,0.0004,время_NOUN,around_PREP
529,3,0.0004,время_NOUN,shortest_NOUN
530,7,0.0008,время_NOUN,much_ADJF
531,3,0.0004,время_NOUN,winter_NOUN
532,3,0.0004,время_NOUN,golden_ADJF
533,4,0.0005,время_NOUN,since_PREP
534,5,0.0006,время_NOUN,wonderful_NOUN
535,4,0.0005,время_NOUN,back_ADVB
536,3,0.0004,время_NOUN,normal_ADJF
537,3,0.0004,время_NOUN,forget_NOUN
538,3,0.0004,время_NOUN,enough_ADVB
539,4,0.0005,время_NOUN,found_NOUN
540,3,0.0004,время_NOUN,unusual_ADJF
541,5,0.0006,время_NOUN,soviet_ADJF
542,3,0.1071,редкий_ADJS,far_ADVB
543,40,0.0176,отец_NOUN,father_NOUN
544,3,0.0013,отец_NOUN,good_ADJF
545,35,0.0154,отец_NOUN,said_VERB
546,13,0.0057,отец_NOUN,old_ADJF
547,5,0.0022,отец_NOUN,whose_NPRO
548,3,0.0013,отец_NOUN,aged_VERB
549,5,0.0022,отец_NOUN,like_PREP
550,7,0.0031,отец_NOUN,holy_NOUN
551,3,0.0013,отец_NOUN,noble_ADJF
552,4,0.0018,отец_NOUN,real_ADJF
553,4,0.0018,отец_NOUN,asked_VERB
554,4,0.0018,отец_NOUN,repeated_VERB
555,3,0.0013,отец_NOUN,stood_NOUN
556,3,0.0013,отец_NOUN,honoured_VERB
557,3,0.0013,отец_NOUN,sick_NOUN
558,4,0.0029,ночь_NOUN,winter_NOUN
559,30,0.0217,ночь_NOUN,till_NOUN
560,8,0.0058,ночь_NOUN,towards_NOUN
561,6,0.0043,ночь_NOUN,terrible_ADJF
562,12,0.0087,ночь_NOUN,one_NUMR
563,16,0.0116,ночь_NOUN,sleepless_NOUN
